Logical address: 16916 ; Physical address: 65556 ; Signed Byte Value: 0
Logical address: 27440 ; Physical address: 49968 ; Signed Byte Value: 0
Logical address: 28201 ; Physical address: 30761 ; Signed Byte Value: 0
Logical address: 23072 ; Physical address: 29728 ; Signed Byte Value: 0
Logical address: 7814 ; Physical address: 7814 ; Signed Byte Value: 7
Logical address: 6552 ; Physical address: 36760 ; Signed Byte Value: 0
Logical address: 43637 ; Physical address: 53109 ; Signed Byte Value: 0
Logical address: 35113 ; Physical address: 25897 ; Signed Byte Value: 0
Logical address: 34890 ; Physical address: 38986 ; Signed Byte Value: 34
Logical address: 61297 ; Physical address: 23409 ; Signed Byte Value: 0
Logical address: 45633 ; Physical address: 57921 ; Signed Byte Value: 0
Logical address: 61431 ; Physical address: 23543 ; Signed Byte Value: -3
Logical address: 46032 ; Physical address: 14800 ; Signed Byte Value: 0
Logical address: 18774 ; Physical address: 3926 ; Signed Byte Value: 18
Logical address: 62991 ; Physical address: 43535 ; Signed Byte Value: -125
Logical address: 28059 ; Physical address: 62363 ; Signed Byte Value: 102
Logical address: 35229 ; Physical address: 26013 ; Signed Byte Value: 0
Logical address: 51230 ; Physical address: 33054 ; Signed Byte Value: 50
Logical address: 14405 ; Physical address: 59973 ; Signed Byte Value: 0
Logical address: 52242 ; Physical address: 18962 ; Signed Byte Value: 51
Logical address: 43153 ; Physical address: 48273 ; Signed Byte Value: 0
Logical address: 2709 ; Physical address: 11925 ; Signed Byte Value: 0
Logical address: 47963 ; Physical address: 40027 ; Signed Byte Value: -42
Logical address: 36943 ; Physical address: 47439 ; Signed Byte Value: 19
Logical address: 54066 ; Physical address: 13874 ; Signed Byte Value: 52
Logical address: 10054 ; Physical address: 5446 ; Signed Byte Value: 9
Logical address: 43051 ; Physical address: 48171 ; Signed Byte Value: 10
Logical address: 11525 ; Physical address: 24069 ; Signed Byte Value: 0
Logical address: 17684 ; Physical address: 55828 ; Signed Byte Value: 0
Logical address: 41681 ; Physical address: 24017 ; Signed Byte Value: 0
Logical address: 27883 ; Physical address: 21739 ; Signed Byte Value: 58
Logical address: 56909 ; Physical address: 28237 ; Signed Byte Value: 0
Logical address: 45772 ; Physical address: 58060 ; Signed Byte Value: 0
Logical address: 27496 ; Physical address: 50024 ; Signed Byte Value: 0
Logical address: 46842 ; Physical address: 10490 ; Signed Byte Value: 45
Logical address: 38734 ; Physical address: 18766 ; Signed Byte Value: 37
Logical address: 28972 ; Physical address: 49196 ; Signed Byte Value: 0
Logical address: 59684 ; Physical address: 18212 ; Signed Byte Value: 0
Logical address: 11384 ; Physical address: 11384 ; Signed Byte Value: 0
Logical address: 21018 ; Physical address: 27930 ; Signed Byte Value: 20
Logical address: 2192 ; Physical address: 30608 ; Signed Byte Value: 0
Logical address: 18384 ; Physical address: 63440 ; Signed Byte Value: 0
Logical address: 13464 ; Physical address: 29592 ; Signed Byte Value: 0
Logical address: 31018 ; Physical address: 3626 ; Signed Byte Value: 30
Logical address: 62958 ; Physical address: 37358 ; Signed Byte Value: 61
Logical address: 30611 ; Physical address: 49555 ; Signed Byte Value: -28
Logical address: 1913 ; Physical address: 32633 ; Signed Byte Value: 0
Logical address: 18904 ; Physical address: 4056 ; Signed Byte Value: 0
Logical address: 26773 ; Physical address: 23189 ; Signed Byte Value: 0
Logical address: 55491 ; Physical address: 7619 ; Signed Byte Value: 48
Logical address: 21899 ; Physical address: 41611 ; Signed Byte Value: 98
Logical address: 64413 ; Physical address: 60829 ; Signed Byte Value: 0
Logical address: 47134 ; Physical address: 35870 ; Signed Byte Value: 46
Logical address: 23172 ; Physical address: 29828 ; Signed Byte Value: 0
Logical address: 7262 ; Physical address: 22622 ; Signed Byte Value: 7
Logical address: 12705 ; Physical address: 34721 ; Signed Byte Value: 0
Logical address: 7522 ; Physical address: 59490 ; Signed Byte Value: 7
Logical address: 58815 ; Physical address: 10687 ; Signed Byte Value: 111
Logical address: 34916 ; Physical address: 39012 ; Signed Byte Value: 0
Logical address: 3802 ; Physical address: 55770 ; Signed Byte Value: 3
Logical address: 58008 ; Physical address: 62616 ; Signed Byte Value: 0
Logical address: 1239 ; Physical address: 25047 ; Signed Byte Value: 53
Logical address: 63947 ; Physical address: 43979 ; Signed Byte Value: 114
Logical address: 381 ; Physical address: 8573 ; Signed Byte Value: 0
Logical address: 60734 ; Physical address: 42046 ; Signed Byte Value: 59
Logical address: 48769 ; Physical address: 32897 ; Signed Byte Value: 0
Logical address: 41938 ; Physical address: 27090 ; Signed Byte Value: 40
Logical address: 38025 ; Physical address: 28553 ; Signed Byte Value: 0
Logical address: 55099 ; Physical address: 60475 ; Signed Byte Value: -50
Logical address: 56691 ; Physical address: 52339 ; Signed Byte Value: 92
Logical address: 39530 ; Physical address: 22378 ; Signed Byte Value: 38
Logical address: 59003 ; Physical address: 50811 ; Signed Byte Value: -98
Logical address: 6029 ; Physical address: 56461 ; Signed Byte Value: 0
Logical address: 20920 ; Physical address: 26808 ; Signed Byte Value: 0
Logical address: 8077 ; Physical address: 31885 ; Signed Byte Value: 0
Logical address: 42633 ; Physical address: 44937 ; Signed Byte Value: 0
Logical address: 17443 ; Physical address: 24611 ; Signed Byte Value: 8
Logical address: 53570 ; Physical address: 64834 ; Signed Byte Value: 52
Logical address: 22833 ; Physical address: 12849 ; Signed Byte Value: 0
Logical address: 3782 ; Physical address: 55750 ; Signed Byte Value: 3
Logical address: 47758 ; Physical address: 9358 ; Signed Byte Value: 46
Logical address: 22136 ; Physical address: 9080 ; Signed Byte Value: 0
Logical address: 22427 ; Physical address: 54427 ; Signed Byte Value: -26
Logical address: 23867 ; Physical address: 26171 ; Signed Byte Value: 78
Logical address: 59968 ; Physical address: 55104 ; Signed Byte Value: 0
Logical address: 62166 ; Physical address: 3542 ; Signed Byte Value: 60
Logical address: 6972 ; Physical address: 39228 ; Signed Byte Value: 0
Logical address: 63684 ; Physical address: 37572 ; Signed Byte Value: 0
Logical address: 46388 ; Physical address: 15412 ; Signed Byte Value: 0
Logical address: 41942 ; Physical address: 27094 ; Signed Byte Value: 40
Logical address: 36524 ; Physical address: 51372 ; Signed Byte Value: 0
Logical address: 9323 ; Physical address: 42859 ; Signed Byte Value: 26
Logical address: 31114 ; Physical address: 3722 ; Signed Byte Value: 30
Logical address: 22345 ; Physical address: 54345 ; Signed Byte Value: 0
Logical address: 46463 ; Physical address: 15487 ; Signed Byte Value: 95
Logical address: 54671 ; Physical address: 17039 ; Signed Byte Value: 99
Logical address: 9214 ; Physical address: 17662 ; Signed Byte Value: 8
Logical address: 7257 ; Physical address: 22617 ; Signed Byte Value: 0
Logical address: 33150 ; Physical address: 12158 ; Signed Byte Value: 32
Logical address: 41565 ; Physical address: 23901 ; Signed Byte Value: 0
Logical address: 26214 ; Physical address: 16486 ; Signed Byte Value: 25
Logical address: 3595 ; Physical address: 55563 ; Signed Byte Value: -126
Logical address: 17932 ; Physical address: 46860 ; Signed Byte Value: 0
Logical address: 34660 ; Physical address: 47716 ; Signed Byte Value: 0
Logical address: 51961 ; Physical address: 38649 ; Signed Byte Value: 0
Logical address: 58634 ; Physical address: 10506 ; Signed Byte Value: 57
Logical address: 57990 ; Physical address: 62598 ; Signed Byte Value: 56
Logical address: 28848 ; Physical address: 64432 ; Signed Byte Value: 0
Logical address: 49920 ; Physical address: 6400 ; Signed Byte Value: 0
Logical address: 18351 ; Physical address: 63407 ; Signed Byte Value: -21
Logical address: 53669 ; Physical address: 64933 ; Signed Byte Value: 0
Logical address: 33996 ; Physical address: 23756 ; Signed Byte Value: 0
Logical address: 6741 ; Physical address: 58965 ; Signed Byte Value: 0
Logical address: 64098 ; Physical address: 61282 ; Signed Byte Value: 62
Logical address: 606 ; Physical address: 48478 ; Signed Byte Value: 0
Logical address: 27383 ; Physical address: 37111 ; Signed Byte Value: -67
Logical address: 63140 ; Physical address: 43684 ; Signed Byte Value: 0
Logical address: 32228 ; Physical address: 16100 ; Signed Byte Value: 0
Logical address: 63437 ; Physical address: 48845 ; Signed Byte Value: 0
Logical address: 29085 ; Physical address: 49309 ; Signed Byte Value: 0
Logical address: 65080 ; Physical address: 17208 ; Signed Byte Value: 0
Logical address: 38753 ; Physical address: 18785 ; Signed Byte Value: 0
Logical address: 16041 ; Physical address: 44713 ; Signed Byte Value: 0
Logical address: 9041 ; Physical address: 17489 ; Signed Byte Value: 0
Logical address: 42090 ; Physical address: 19562 ; Signed Byte Value: 41
Logical address: 46388 ; Physical address: 15412 ; Signed Byte Value: 0
Logical address: 63650 ; Physical address: 37538 ; Signed Byte Value: 62
Logical address: 36636 ; Physical address: 29980 ; Signed Byte Value: 0
Logical address: 21947 ; Physical address: 41659 ; Signed Byte Value: 110
Logical address: 19833 ; Physical address: 29305 ; Signed Byte Value: 0
Logical address: 36464 ; Physical address: 51312 ; Signed Byte Value: 0
Logical address: 8541 ; Physical address: 45661 ; Signed Byte Value: 0
Logical address: 12712 ; Physical address: 34728 ; Signed Byte Value: 0
Logical address: 48955 ; Physical address: 15163 ; Signed Byte Value: -50
Logical address: 39206 ; Physical address: 10022 ; Signed Byte Value: 38
Logical address: 15578 ; Physical address: 34010 ; Signed Byte Value: 15
Logical address: 49205 ; Physical address: 57141 ; Signed Byte Value: 0
Logical address: 7731 ; Physical address: 7731 ; Signed Byte Value: -116
Logical address: 43046 ; Physical address: 48166 ; Signed Byte Value: 42
Logical address: 60498 ; Physical address: 58450 ; Signed Byte Value: 59
Logical address: 9237 ; Physical address: 42773 ; Signed Byte Value: 0
Logical address: 47706 ; Physical address: 9306 ; Signed Byte Value: 46
Logical address: 43973 ; Physical address: 8389 ; Signed Byte Value: 0
Logical address: 42008 ; Physical address: 19480 ; Signed Byte Value: 0
Logical address: 27460 ; Physical address: 49988 ; Signed Byte Value: 0
Logical address: 24999 ; Physical address: 13223 ; Signed Byte Value: 105
Logical address: 51933 ; Physical address: 38621 ; Signed Byte Value: 0
Logical address: 34070 ; Physical address: 4630 ; Signed Byte Value: 33
Logical address: 65155 ; Physical address: 17283 ; Signed Byte Value: -96
Logical address: 59955 ; Physical address: 55091 ; Signed Byte Value: -116
Logical address: 9277 ; Physical address: 42813 ; Signed Byte Value: 0
Logical address: 20420 ; Physical address: 49092 ; Signed Byte Value: 0
Logical address: 44860 ; Physical address: 52540 ; Signed Byte Value: 0
Logical address: 50992 ; Physical address: 22832 ; Signed Byte Value: 0
Logical address: 10583 ; Physical address: 38231 ; Signed Byte Value: 85
Logical address: 57751 ; Physical address: 4503 ; Signed Byte Value: 101
Logical address: 23195 ; Physical address: 29851 ; Signed Byte Value: -90
Logical address: 27227 ; Physical address: 36955 ; Signed Byte Value: -106
Logical address: 42816 ; Physical address: 46144 ; Signed Byte Value: 0
Logical address: 58219 ; Physical address: 31595 ; Signed Byte Value: -38
Logical address: 37606 ; Physical address: 44518 ; Signed Byte Value: 36
Logical address: 18426 ; Physical address: 63482 ; Signed Byte Value: 17
Logical address: 21238 ; Physical address: 28150 ; Signed Byte Value: 20
Logical address: 11983 ; Physical address: 6095 ; Signed Byte Value: -77
Logical address: 48394 ; Physical address: 63754 ; Signed Byte Value: 47
Logical address: 11036 ; Physical address: 25628 ; Signed Byte Value: 0
Logical address: 30557 ; Physical address: 49501 ; Signed Byte Value: 0
Logical address: 23453 ; Physical address: 45213 ; Signed Byte Value: 0
Logical address: 49847 ; Physical address: 34231 ; Signed Byte Value: -83
Logical address: 30032 ; Physical address: 65104 ; Signed Byte Value: 0
Logical address: 48065 ; Physical address: 40129 ; Signed Byte Value: 0
Logical address: 6957 ; Physical address: 39213 ; Signed Byte Value: 0
Logical address: 2301 ; Physical address: 30717 ; Signed Byte Value: 0
Logical address: 7736 ; Physical address: 7736 ; Signed Byte Value: 0
Logical address: 31260 ; Physical address: 42268 ; Signed Byte Value: 0
Logical address: 17071 ; Physical address: 65711 ; Signed Byte Value: 0
Logical address: 8940 ; Physical address: 19436 ; Signed Byte Value: 0
Logical address: 9929 ; Physical address: 21193 ; Signed Byte Value: 0
Logical address: 45563 ; Physical address: 19963 ; Signed Byte Value: 126
Logical address: 12107 ; Physical address: 63051 ; Signed Byte Value: -46
Number of page faults: 244
Number of TLB hits: 1244
